ID,Label,Prediction,Result
1,Yes.,No.,0
2,No.,Yes.,0
3,Yes.,No.,0
4,No.,No.,1
5,Yes.,No.,0
6,No.,No.,1
7,Yes.,No.,0
8,No.,No.,1
9,Yes.,No.,0
10,No.,No.,1
11,Yes.,No.,0
12,No.,No.,1
13,Yes.,No.,0
14,No.,No.,1
15,Yes.,No.,0
16,No.,Yes.,0
17,Yes.,No.,0
18,No.,No.,1
19,Yes.,No.,0
20,No.,No.,1
21,Yes.,No.,0
22,No.,No.,1
23,Yes.,No.,0
24,No.,No.,1
25,Yes.,No.,0
26,No.,No.,1
27,Yes.,No.,0
28,No.,No.,1
29,Yes.,No.,0
30,No.,No.,1
31,Yes.,No.,0
32,No.,No.,1
33,Yes.,No.,0
34,No.,No.,1
35,Yes.,Yes.,1
36,No.,No.,1
37,Yes.,Yes.,1
38,No.,No.,1
39,Yes.,Yes.,1
40,No.,No.,1
41,Yes.,No.,0
42,No.,No.,1
43,Yes.,No.,0
44,No.,No.,1
45,Yes.,No.,0
46,No.,Yes.,0
47,Yes.,No.,0
48,No.,No.,1
49,Yes.,No.,0
50,No.,Yes.,0
51,Yes.,No.,0
52,No.,No.,1
53,Yes.,Yes.,1
54,No.,No.,1
55,Yes.,No.,0
56,No.,No.,1
57,Yes.,No.,0
58,No.,No.,1
59,Yes.,Yes.,1
60,No.,No.,1
61,Yes.,No.,0
62,No.,No.,1
63,Yes.,No.,0
64,No.,No.,1
65,Yes.,No.,0
66,No.,No.,1
67,Yes.,Yes.,1
68,No.,Yes.,0
69,Yes.,No.,0
70,No.,No.,1
71,Yes.,No.,0
72,No.,No.,1
73,Yes.,No.,0
74,No.,No.,1
75,Yes.,Yes.,1
76,No.,No.,1
77,Yes.,No.,0
78,No.,No.,1
79,Yes.,Yes.,1
80,No.,No.,1
81,Yes.,No.,0
82,No.,No.,1
83,Yes.,No.,0
84,No.,No.,1
85,Yes.,No.,0
86,No.,No.,1
87,Yes.,No.,0
88,No.,No.,1
89,Yes.,Yes.,1
90,No.,Yes.,0
91,Yes.,No.,0
92,No.,No.,1
93,Yes.,No.,0
94,No.,No.,1
95,Yes.,No.,0
96,No.,Yes.,0
97,Yes.,No.,0
98,No.,No.,1
99,Yes.,No.,0
100,No.,No.,1
101,Yes.,No.,0
102,No.,No.,1
103,Yes.,No.,0
104,No.,No.,1
105,Yes.,No.,0
106,No.,No.,1
107,Yes.,Yes.,1
108,No.,No.,1
109,Yes.,No.,0
110,No.,No.,1
111,Yes.,Yes.,1
112,No.,No.,1
113,Yes.,No.,0
114,No.,No.,1
115,Yes.,No.,0
116,No.,Yes.,0
117,Yes.,No.,0
118,No.,No.,1
119,Yes.,Yes.,1
120,No.,No.,1
121,Yes.,No.,0
122,No.,No.,1
123,Yes.,No.,0
124,No.,No.,1
125,Yes.,No.,0
126,No.,No.,1
127,Yes.,No.,0
128,No.,Yes.,0
129,Yes.,No.,0
130,No.,No.,1
131,Yes.,"To determine whether the user will like the target business ""B2"", we need to know the name of the target business.",-1
132,No.,No.,1
133,Yes.,No.,0
134,No.,No.,1
135,Yes.,No.,0
136,No.,No.,1
137,Yes.,Yes.,1
138,No.,Yes.,0
139,Yes.,Yes.,1
140,No.,No.,1
141,Yes.,Yes.,1
142,No.,No.,1
143,Yes.,Yes.,1
144,No.,No.,1
145,Yes.,Yes.,1
146,No.,No.,1
147,Yes.,No.,0
148,No.,No.,1
149,Yes.,No.,0
150,No.,No.,1
151,Yes.,No.,0
152,No.,No.,1
153,Yes.,No.,0
154,No.,No.,1
155,Yes.,Yes.,1
156,No.,No.,1
157,Yes.,No.,0
158,No.,No.,1
159,Yes.,Yes.,1
160,No.,No.,1
161,Yes.,No.,0
162,No.,Yes.,0
163,Yes.,No.,0
164,No.,No.,1
165,Yes.,Yes.,1
166,No.,No.,1
167,Yes.,No.,0
168,No.,Yes.,0
169,Yes.,No.,0
170,No.,No.,1
171,Yes.,Yes.,1
172,No.,No.,1
173,Yes.,No.,0
174,No.,Yes.,0
175,Yes.,No.,0
176,No.,No.,1
177,Yes.,Yes.,1
178,No.,No.,1
179,Yes.,No.,0
180,No.,No.,1
181,Yes.,No.,0
182,No.,Yes.,0
183,Yes.,No.,0
184,No.,No.,1
185,Yes.,No.,0
186,No.,No.,1
187,Yes.,Yes.,1
188,No.,No.,1
189,Yes.,Yes.,1
190,No.,No.,1
