ID,Label,Prediction,Result
1,Yes.,Yes.,1
2,No.,Yes.,0
3,Yes.,Yes.,1
4,No.,No.,1
5,Yes.,No.,0
6,No.,Yes.,0
7,Yes.,No.,0
8,No.,No.,1
9,Yes.,No.,0
10,No.,No.,1
11,Yes.,Yes.,1
12,No.,No.,1
13,Yes.,No.,0
14,No.,No.,1
15,Yes.,Yes.,1
16,No.,No.,1
17,Yes.,Yes.,1
18,No.,Yes.,0
19,Yes.,Yes.,1
20,No.,No.,1
21,Yes.,No.,0
22,No.,No.,1
23,Yes.,Yes.,1
24,No.,No.,1
25,Yes.,No.,0
26,No.,Yes.,0
27,Yes.,No.,0
28,No.,No.,1
29,Yes.,Yes.,1
30,No.,No.,1
31,Yes.,Yes.,1
32,No.,No.,1
33,Yes.,Yes.,1
34,No.,No.,1
35,Yes.,No.,0
36,No.,No.,1
37,Yes.,No.,0
38,No.,No.,1
39,Yes.,Yes.,1
40,No.,No.,1
41,Yes.,Yes.,1
42,No.,No.,1
43,Yes.,No.,0
44,No.,Yes.,0
45,Yes.,Yes.,1
46,No.,No.,1
47,Yes.,Yes.,1
48,No.,No.,1
49,Yes.,Yes.,1
50,No.,No.,1
51,Yes.,No.,0
52,No.,Yes.,0
53,Yes.,Yes.,1
54,No.,No.,1
55,Yes.,Yes.,1
56,No.,No.,1
57,Yes.,Yes.,1
58,No.,No.,1
59,Yes.,No.,0
60,No.,No.,1
61,Yes.,No.,0
62,No.,No.,1
63,Yes.,Yes.,1
64,No.,No.,1
65,Yes.,No.,0
66,No.,No.,1
67,Yes.,No.,0
68,No.,No.,1
69,Yes.,Yes.,1
70,No.,No.,1
71,Yes.,No.,0
72,No.,No.,1
73,Yes.,Yes.,1
74,No.,No.,1
75,Yes.,Yes.,1
76,No.,No.,1
77,Yes.,Yes.,1
78,No.,No.,1
79,Yes.,Yes.,1
80,No.,Yes.,0
81,Yes.,No.,0
82,No.,Yes.,0
83,Yes.,Yes.,1
84,No.,Yes.,0
85,Yes.,Yes.,1
86,No.,Yes.,0
87,Yes.,Yes.,1
88,No.,Yes.,0
89,Yes.,Yes.,1
90,No.,Yes.,0
91,Yes.,No.,0
92,No.,Yes.,0
93,Yes.,Yes.,1
94,No.,No.,1
95,Yes.,No.,0
96,No.,No.,1
97,Yes.,Yes.,1
98,No.,No.,1
99,Yes.,No.,0
100,No.,No.,1
101,Yes.,Yes.,1
102,No.,No.,1
103,Yes.,No.,0
104,No.,Yes.,0
105,Yes.,Yes.,1
106,No.,No.,1
107,Yes.,Yes.,1
108,No.,Yes.,0
109,Yes.,No.,0
110,No.,No.,1
111,Yes.,No.,0
112,No.,Yes.,0
113,Yes.,No.,0
114,No.,No.,1
115,Yes.,No.,0
116,No.,No.,1
117,Yes.,No.,0
118,No.,No.,1
119,Yes.,Yes.,1
120,No.,No.,1
121,Yes.,Yes.,1
122,No.,Yes.,0
123,Yes.,Yes.,1
124,No.,Yes.,0
125,Yes.,No.,0
126,No.,No.,1
127,Yes.,Yes.,1
128,No.,Yes.,0
129,Yes.,Yes.,1
130,No.,No.,1
131,Yes.,Yes.,1
132,No.,No.,1
133,Yes.,Yes.,1
134,No.,No.,1
135,Yes.,Yes.,1
136,No.,Yes.,0
137,Yes.,No.,0
138,No.,No.,1
139,Yes.,No.,0
140,No.,Yes.,0
141,Yes.,No.,0
142,No.,Yes.,0
143,Yes.,Yes.,1
144,No.,No.,1
145,Yes.,Yes.,1
146,No.,Yes.,0
147,Yes.,Yes.,1
148,No.,Yes.,0
149,Yes.,No.,0
150,No.,No.,1
151,Yes.,Yes.,1
152,No.,Yes.,0
153,Yes.,Yes.,1
154,No.,No.,1
155,Yes.,Yes.,1
156,No.,Yes.,0
157,Yes.,Yes.,1
158,No.,Yes.,0
159,Yes.,Yes.,1
160,No.,No.,1
161,Yes.,No.,0
162,No.,Yes.,0
163,Yes.,Yes.,1
164,No.,Yes.,0
165,Yes.,Yes.,1
166,No.,No.,1
167,Yes.,Yes.,1
168,No.,No.,1
169,Yes.,Yes.,1
170,No.,Yes.,0
171,Yes.,No.,0
172,No.,No.,1
173,Yes.,No.,0
174,No.,Yes.,0
175,Yes.,No.,0
176,No.,Yes.,0
177,Yes.,Yes.,1
178,No.,No.,1
179,Yes.,Yes.,1
180,No.,Yes.,0
181,Yes.,No.,0
182,No.,No.,1
183,Yes.,No.,0
184,No.,No.,1
185,Yes.,No.,0
186,No.,No.,1
187,Yes.,Yes.,1
188,No.,No.,1
189,Yes.,Yes.,1
190,No.,No.,1
191,Yes.,No.,0
192,No.,Yes.,0
193,Yes.,No.,0
194,No.,Yes.,0
195,Yes.,No.,0
196,No.,No.,1
197,Yes.,No.,0
198,No.,Yes.,0
199,Yes.,Yes.,1
200,No.,No.,1
201,Yes.,Yes.,1
202,No.,No.,1
203,Yes.,No.,0
204,No.,No.,1
205,Yes.,Yes.,1
206,No.,Yes.,0
207,Yes.,Yes.,1
208,No.,No.,1
209,Yes.,Yes.,1
210,No.,No.,1
211,Yes.,No.,0
212,No.,No.,1
213,Yes.,Yes.,1
214,No.,No.,1
215,Yes.,Yes.,1
216,No.,No.,1
217,Yes.,Yes.,1
218,No.,Yes.,0
219,Yes.,No.,0
220,No.,No.,1
221,Yes.,Yes.,1
222,No.,No.,1
223,Yes.,No.,0
224,No.,No.,1
225,Yes.,No.,0
226,No.,No.,1
227,Yes.,No.,0
228,No.,No.,1
229,Yes.,No.,0
230,No.,No.,1
231,Yes.,Yes.,1
232,No.,Yes.,0
233,Yes.,No.,0
234,No.,No.,1
235,Yes.,No.,0
236,No.,No.,1
237,Yes.,Yes.,1
238,No.,No.,1
239,Yes.,Yes.,1
240,No.,Yes.,0
241,Yes.,Yes.,1
242,No.,No.,1
243,Yes.,No.,0
244,No.,No.,1
245,Yes.,No.,0
246,No.,No.,1
247,Yes.,Yes.,1
248,No.,Yes.,0
249,Yes.,No.,0
250,No.,No.,1
251,Yes.,Yes.,1
252,No.,No.,1
253,Yes.,Yes.,1
254,No.,No.,1
255,Yes.,Yes.,1
256,No.,No.,1
257,Yes.,Yes.,1
258,No.,No.,1
259,Yes.,No.,0
260,No.,Yes.,0
261,Yes.,Yes.,1
262,No.,Yes.,0
263,Yes.,Yes.,1
264,No.,Yes.,0
265,Yes.,No.,0
266,No.,No.,1
267,Yes.,No.,0
268,No.,Yes.,0
269,Yes.,No.,0
270,No.,No.,1
271,Yes.,No.,0
272,No.,No.,1
273,Yes.,No.,0
274,No.,No.,1
