ID,Label,Prediction,Result
1,No.,No.,1
2,Yes.,No.,0
3,Yes.,No.,0
4,Yes.,No.,0
5,No.,No.,1
6,Yes.,No.,0
7,No.,No.,1
8,Yes.,No.,0
9,Yes.,No.,0
10,Yes.,No.,0
11,Yes.,No.,0
12,Yes.,No.,0
13,Yes.,No.,0
14,Yes.,No.,0
15,Yes.,No.,0
16,Yes.,No.,0
17,No.,No.,1
18,Yes.,No.,0
19,Yes.,No.,0
20,Yes.,No.,0
21,Yes.,No.,0
22,Yes.,No.,0
23,Yes.,No.,0
24,Yes.,No.,0
25,Yes.,No.,0
26,Yes.,No.,0
27,Yes.,No.,0
28,No.,No.,1
29,Yes.,No.,0
30,No.,No.,1
31,No.,No.,1
32,Yes.,No.,0
33,No.,No.,1
34,No.,No.,1
35,Yes.,No.,0
36,Yes.,No.,0
37,No.,No.,1
38,Yes.,No.,0
39,No.,No.,1
40,No.,No.,1
41,Yes.,No.,0
42,No.,No.,1
43,No.,No.,1
44,No.,No.,1
45,No.,No.,1
46,No.,No.,1
47,No.,No.,1
48,No.,No.,1
49,Yes.,No.,0
50,No.,No.,1
51,No.,No.,1
52,Yes.,No.,0
53,Yes.,No.,0
54,No.,No.,1
55,No.,No.,1
56,Yes.,No.,0
57,No.,No.,1
58,No.,No.,1
59,No.,No.,1
60,Yes.,No.,0
61,No.,No.,1
62,No.,No.,1
63,Yes.,No.,0
64,Yes.,No.,0
65,No.,No.,1
66,Yes.,No.,0
67,Yes.,No.,0
68,Yes.,No.,0
69,Yes.,No.,0
70,Yes.,No.,0
71,No.,No.,1
72,Yes.,No.,0
73,Yes.,No.,0
74,Yes.,No.,0
75,No.,No.,1
76,No.,No.,1
77,No.,No.,1
78,No.,No.,1
79,No.,No.,1
80,No.,No.,1
81,No.,No.,1
82,Yes.,No.,0
83,Yes.,No.,0
84,Yes.,No.,0
85,Yes.,No.,0
86,No.,No.,1
87,No.,No.,1
88,Yes.,No.,0
89,Yes.,No.,0
90,No.,No.,1
91,No.,No.,1
92,No.,No.,1
93,Yes.,No.,0
94,No.,No.,1
95,Yes.,No.,0
96,Yes.,No.,0
97,Yes.,No.,0
98,Yes.,No.,0
99,No.,No.,1
100,No.,No.,1
101,No.,No.,1
102,No.,No.,1
103,Yes.,No.,0
104,No.,No.,1
105,No.,No.,1
106,Yes.,No.,0
107,No.,No.,1
108,No.,No.,1
109,No.,No.,1
110,Yes.,No.,0
111,Yes.,No.,0
112,Yes.,No.,0
113,No.,No.,1
114,No.,No.,1
115,Yes.,No.,0
116,No.,No.,1
117,Yes.,No.,0
118,No.,No.,1
119,Yes.,No.,0
120,No.,No.,1
121,No.,No.,1
122,No.,No.,1
123,No.,No.,1
124,No.,No.,1
125,No.,No.,1
126,Yes.,No.,0
127,Yes.,No.,0
128,No.,No.,1
129,Yes.,No.,0
130,No.,No.,1
131,Yes.,No.,0
132,Yes.,No.,0
133,Yes.,No.,0
134,No.,No.,1
135,No.,No.,1
136,Yes.,No.,0
137,No.,No.,1
138,No.,No.,1
139,Yes.,No.,0
140,Yes.,No.,0
141,Yes.,No.,0
142,No.,No.,1
143,No.,No.,1
144,No.,No.,1
145,Yes.,No.,0
146,No.,No.,1
147,No.,No.,1
148,No.,No.,1
149,No.,No.,1
150,No.,No.,1
151,No.,No.,1
152,No.,No.,1
153,No.,No.,1
154,No.,No.,1
155,No.,No.,1
156,No.,No.,1
157,No.,No.,1
158,No.,No.,1
159,No.,No.,1
160,No.,No.,1
161,No.,No.,1
162,No.,No.,1
163,No.,No.,1
164,No.,No.,1
165,No.,No.,1
166,No.,No.,1
167,No.,No.,1
168,No.,No.,1
169,No.,No.,1
170,No.,No.,1
171,No.,No.,1
172,No.,No.,1
173,Yes.,No.,0
174,No.,No.,1
175,No.,No.,1
176,No.,No.,1
177,No.,No.,1
178,No.,No.,1
179,No.,No.,1
180,No.,No.,1
181,No.,No.,1
182,No.,No.,1
183,No.,No.,1
184,No.,No.,1
185,No.,No.,1
186,No.,No.,1
187,No.,No.,1
188,No.,No.,1
189,No.,No.,1
190,No.,No.,1
191,No.,No.,1
192,No.,No.,1
193,No.,No.,1
194,No.,No.,1
195,No.,No.,1
196,No.,No.,1
197,No.,No.,1
198,No.,No.,1
199,No.,No.,1
200,No.,No.,1
201,No.,No.,1
202,No.,No.,1
203,No.,No.,1
204,No.,No.,1
205,No.,No.,1
206,No.,No.,1
207,No.,No.,1
208,No.,No.,1
209,No.,No.,1
210,No.,No.,1
211,No.,No.,1
212,No.,No.,1
213,No.,No.,1
214,No.,No.,1
215,No.,No.,1
216,No.,No.,1
217,No.,No.,1
218,No.,No.,1
219,No.,No.,1
220,No.,No.,1
221,No.,No.,1
222,No.,No.,1
223,No.,No.,1
224,No.,No.,1
225,No.,No.,1
226,Yes.,No.,0
227,Yes.,No.,0
228,Yes.,No.,0
229,Yes.,No.,0
230,Yes.,No.,0
231,Yes.,No.,0
232,Yes.,No.,0
233,Yes.,No.,0
234,No.,No.,1
235,Yes.,No.,0
236,Yes.,No.,0
237,Yes.,No.,0
238,Yes.,No.,0
239,No.,No.,1
240,Yes.,No.,0
241,Yes.,No.,0
242,Yes.,No.,0
243,Yes.,No.,0
