ID,Label,Prediction,Result
1,Yes.,Yes.,1
2,No.,No.,1
3,Yes.,Yes.,1
4,No.,Yes.,0
5,Yes.,Yes.,1
6,No.,No.,1
7,Yes.,Yes.,1
8,No.,No.,1
9,Yes.,Yes.,1
10,No.,Yes.,0
11,Yes.,No.,0
12,No.,No.,1
13,Yes.,Yes.,1
14,No.,No.,1
15,Yes.,Yes.,1
16,No.,No.,1
17,Yes.,No.,0
18,No.,Yes.,0
19,Yes.,No.,0
20,No.,No.,1
21,Yes.,Yes.,1
22,No.,Yes.,0
23,Yes.,No.,0
24,No.,No.,1
25,Yes.,Yes.,1
26,No.,No.,1
27,Yes.,Yes.,1
28,No.,No.,1
29,Yes.,Yes.,1
30,No.,Yes.,0
31,Yes.,Yes.,1
32,No.,No.,1
33,Yes.,Yes.,1
34,No.,Yes.,0
35,Yes.,Yes.,1
36,No.,No.,1
37,Yes.,Yes.,1
38,No.,Yes.,0
39,Yes.,Yes.,1
40,No.,Yes.,0
41,Yes.,No.,0
42,No.,No.,1
43,Yes.,Yes.,1
44,No.,Yes.,0
45,Yes.,No.,0
46,No.,No.,1
47,Yes.,No.,0
48,No.,No.,1
49,Yes.,Yes.,1
50,No.,No.,1
51,Yes.,Yes.,1
52,No.,No.,1
53,Yes.,Yes.,1
54,No.,Yes.,0
55,Yes.,No.,0
56,No.,Yes.,0
57,Yes.,Yes.,1
58,No.,Yes.,0
59,Yes.,Yes.,1
60,No.,Yes.,0
61,Yes.,Yes.,1
62,No.,No.,1
63,Yes.,No.,0
64,No.,No.,1
65,Yes.,Yes.,1
66,No.,Yes.,0
67,Yes.,Yes.,1
68,No.,No.,1
69,Yes.,Yes.,1
70,No.,No.,1
71,Yes.,Yes.,1
72,No.,No.,1
73,Yes.,No.,0
74,No.,No.,1
75,Yes.,No.,0
76,No.,Yes.,0
77,Yes.,Yes.,1
78,No.,Yes.,0
79,Yes.,Yes.,1
80,No.,No.,1
81,Yes.,No.,0
82,No.,Yes.,0
83,Yes.,No.,0
84,No.,No.,1
85,Yes.,Yes.,1
86,No.,Yes.,0
87,Yes.,Yes.,1
88,No.,Yes.,0
89,Yes.,Yes.,1
90,No.,Yes.,0
