ID,Label,Prediction,Result
1,Yes.,No.,0
2,No.,No.,1
3,Yes.,Yes.,1
4,No.,No.,1
5,Yes.,Yes.,1
6,No.,Yes.,0
7,Yes.,No.,0
8,No.,No.,1
9,Yes.,Yes.,1
10,No.,No.,1
11,Yes.,Yes.,1
12,No.,Yes.,0
13,Yes.,No.,0
14,No.,No.,1
15,Yes.,No.,0
16,No.,Yes.,0
17,Yes.,No.,0
18,No.,No.,1
19,Yes.,Yes.,1
20,No.,Yes.,0
21,Yes.,Yes.,1
22,No.,No.,1
23,Yes.,Yes.,1
24,No.,Yes.,0
25,Yes.,Yes.,1
26,No.,No.,1
27,Yes.,Yes.,1
28,No.,No.,1
29,Yes.,Yes.,1
30,No.,No.,1
31,Yes.,No.,0
32,No.,No.,1
33,Yes.,Yes.,1
34,No.,No.,1
35,Yes.,Yes.,1
36,No.,Yes.,0
37,Yes.,Yes.,1
38,No.,Yes.,0
39,Yes.,Yes.,1
40,No.,No.,1
41,Yes.,Yes.,1
42,No.,No.,1
43,Yes.,No.,0
44,No.,No.,1
45,Yes.,Yes.,1
46,No.,No.,1
47,Yes.,Yes.,1
48,No.,No.,1
49,Yes.,Yes.,1
50,No.,No.,1
51,Yes.,Yes.,1
52,No.,No.,1
53,Yes.,Yes.,1
54,No.,No.,1
55,Yes.,No.,0
56,No.,Yes.,0
57,Yes.,Yes.,1
58,No.,No.,1
59,Yes.,Yes.,1
60,No.,No.,1
61,Yes.,Yes.,1
62,No.,Yes.,0
63,Yes.,Yes.,1
64,No.,No.,1
65,Yes.,No.,0
66,No.,No.,1
67,Yes.,No.,0
68,No.,No.,1
69,Yes.,Yes.,1
70,No.,No.,1
71,Yes.,Yes.,1
72,No.,No.,1
73,Yes.,Yes.,1
74,No.,No.,1
75,Yes.,No.,0
76,No.,No.,1
77,Yes.,Yes.,1
78,No.,No.,1
79,Yes.,Yes.,1
80,No.,No.,1
81,Yes.,Yes.,1
82,No.,No.,1
83,Yes.,Yes.,1
84,No.,Yes.,0
85,Yes.,Yes.,1
86,No.,No.,1
87,Yes.,No.,0
88,No.,Yes.,0
89,Yes.,No.,0
90,No.,Yes.,0
91,Yes.,Yes.,1
92,No.,No.,1
93,Yes.,Yes.,1
94,No.,No.,1
95,Yes.,No.,0
96,No.,No.,1
97,Yes.,Yes.,1
98,No.,Yes.,0
99,Yes.,Yes.,1
100,No.,No.,1
101,Yes.,Yes.,1
102,No.,No.,1
103,Yes.,Yes.,1
104,No.,Yes.,0
105,Yes.,Yes.,1
106,No.,No.,1
107,Yes.,No.,0
108,No.,No.,1
109,Yes.,Yes.,1
110,No.,No.,1
111,Yes.,Yes.,1
112,No.,Yes.,0
113,Yes.,Yes.,1
114,No.,Yes.,0
115,Yes.,Yes.,1
116,No.,Yes.,0
117,Yes.,Yes.,1
118,No.,No.,1
119,Yes.,Yes.,1
120,No.,No.,1
121,Yes.,Yes.,1
122,No.,Yes.,0
123,Yes.,Yes.,1
124,No.,Yes.,0
125,Yes.,Yes.,1
126,No.,No.,1
127,Yes.,Yes.,1
128,No.,No.,1
129,Yes.,No.,0
130,No.,No.,1
131,Yes.,Yes.,1
132,No.,No.,1
133,Yes.,No.,0
134,No.,No.,1
135,Yes.,Yes.,1
136,No.,No.,1
137,Yes.,No.,0
138,No.,Yes.,0
139,Yes.,Yes.,1
140,No.,Yes.,0
141,Yes.,Yes.,1
142,No.,No.,1
143,Yes.,Yes.,1
144,No.,Yes.,0
145,Yes.,Yes.,1
146,No.,No.,1
147,Yes.,Yes.,1
148,No.,No.,1
149,Yes.,No.,0
150,No.,Yes.,0
151,Yes.,Yes.,1
152,No.,No.,1
153,Yes.,No.,0
154,No.,Yes.,0
155,Yes.,Yes.,1
156,No.,No.,1
157,Yes.,No.,0
158,No.,No.,1
159,Yes.,Yes.,1
160,No.,Yes.,0
161,Yes.,Yes.,1
162,No.,No.,1
163,Yes.,Yes.,1
164,No.,No.,1
165,Yes.,No.,0
166,No.,No.,1
167,Yes.,Yes.,1
168,No.,Yes.,0
169,Yes.,Yes.,1
170,No.,No.,1
171,Yes.,Yes.,1
172,No.,No.,1
173,Yes.,Yes.,1
174,No.,No.,1
175,Yes.,Yes.,1
176,No.,Yes.,0
177,Yes.,No.,0
178,No.,No.,1
179,Yes.,No.,0
180,No.,No.,1
181,Yes.,No.,0
182,No.,No.,1
183,Yes.,Yes.,1
184,No.,No.,1
185,Yes.,No.,0
186,No.,No.,1
187,Yes.,Yes.,1
188,No.,No.,1
189,Yes.,No.,0
190,No.,No.,1
191,Yes.,Yes.,1
192,No.,No.,1
193,Yes.,No.,0
194,No.,Yes.,0
195,Yes.,Yes.,1
196,No.,No.,1
197,Yes.,Yes.,1
198,No.,Yes.,0
199,Yes.,No.,0
200,No.,Yes.,0
201,Yes.,Yes.,1
202,No.,No.,1
203,Yes.,Yes.,1
204,No.,No.,1
205,Yes.,Yes.,1
206,No.,Yes.,0
207,Yes.,Yes.,1
208,No.,No.,1
209,Yes.,Yes.,1
210,No.,No.,1
211,Yes.,Yes.,1
212,No.,No.,1
213,Yes.,Yes.,1
214,No.,Yes.,0
215,Yes.,Yes.,1
216,No.,No.,1
217,Yes.,Yes.,1
218,No.,No.,1
219,Yes.,Yes.,1
220,No.,No.,1
221,Yes.,Yes.,1
222,No.,No.,1
223,Yes.,Yes.,1
224,No.,No.,1
225,Yes.,No.,0
226,No.,Yes.,0
227,Yes.,No.,0
228,No.,Yes.,0
229,Yes.,Yes.,1
230,No.,No.,1
231,Yes.,Yes.,1
232,No.,No.,1
233,Yes.,No.,0
234,No.,No.,1
235,Yes.,Yes.,1
236,No.,Yes.,0
237,Yes.,Yes.,1
238,No.,Yes.,0
239,Yes.,Yes.,1
240,No.,No.,1
241,Yes.,Yes.,1
242,No.,No.,1
243,Yes.,Yes.,1
244,No.,Yes.,0
245,Yes.,No.,0
246,No.,No.,1
247,Yes.,Yes.,1
248,No.,No.,1
249,Yes.,Yes.,1
250,No.,Yes.,0
251,Yes.,Yes.,1
252,No.,No.,1
253,Yes.,Yes.,1
254,No.,Yes.,0
255,Yes.,Yes.,1
256,No.,No.,1
257,Yes.,Yes.,1
258,No.,No.,1
259,Yes.,No.,0
260,No.,No.,1
261,Yes.,Yes.,1
262,No.,No.,1
263,Yes.,No.,0
264,No.,No.,1
265,Yes.,No.,0
266,No.,No.,1
267,Yes.,Yes.,1
268,No.,Yes.,0
269,Yes.,Yes.,1
270,No.,No.,1
271,Yes.,Yes.,1
272,No.,No.,1
273,Yes.,Yes.,1
274,No.,No.,1
275,Yes.,No.,0
276,No.,No.,1
277,Yes.,No.,0
278,No.,Yes.,0
279,Yes.,Yes.,1
280,No.,No.,1
281,Yes.,Yes.,1
282,No.,No.,1
283,Yes.,Yes.,1
284,No.,No.,1
285,Yes.,Yes.,1
286,No.,No.,1
287,Yes.,Yes.,1
288,No.,Yes.,0
289,Yes.,Yes.,1
290,No.,No.,1
291,Yes.,Yes.,1
292,No.,Yes.,0
293,Yes.,Yes.,1
294,No.,No.,1
295,Yes.,Yes.,1
296,No.,No.,1
297,Yes.,Yes.,1
298,No.,Yes.,0
299,Yes.,Yes.,1
300,No.,No.,1
301,Yes.,No.,0
302,No.,Yes.,0
303,Yes.,Yes.,1
304,No.,No.,1
305,Yes.,Yes.,1
306,No.,No.,1
307,Yes.,Yes.,1
308,No.,No.,1
309,Yes.,No.,0
310,No.,Yes.,0
311,Yes.,Yes.,1
312,No.,No.,1
313,Yes.,Yes.,1
314,No.,No.,1
315,Yes.,Yes.,1
316,No.,No.,1
317,Yes.,Yes.,1
318,No.,No.,1
319,Yes.,Yes.,1
320,No.,No.,1
321,Yes.,Yes.,1
322,No.,Yes.,0
323,Yes.,No.,0
324,No.,No.,1
325,Yes.,No.,0
326,No.,No.,1
327,Yes.,Yes.,1
328,No.,No.,1
329,Yes.,Yes.,1
330,No.,Yes.,0
331,Yes.,Yes.,1
332,No.,No.,1
333,Yes.,Yes.,1
334,No.,No.,1
335,Yes.,Yes.,1
336,No.,Yes.,0
337,Yes.,Yes.,1
338,No.,No.,1
339,Yes.,Yes.,1
340,No.,No.,1
341,Yes.,Yes.,1
342,No.,No.,1
343,Yes.,No.,0
344,No.,Yes.,0
345,Yes.,Yes.,1
346,No.,No.,1
347,Yes.,Yes.,1
348,No.,No.,1
349,Yes.,Yes.,1
350,No.,No.,1
351,Yes.,Yes.,1
352,No.,No.,1
